CountryCode,DailyConfirmedCases,Date
USA,0,1/1/2020
USA,0,1/2/2020
USA,0,1/3/2020
USA,0,1/4/2020
USA,0,1/5/2020
USA,0,1/6/2020
USA,0,1/7/2020
USA,0,1/8/2020
USA,0,1/9/2020
USA,0,1/10/2020
USA,0,1/11/2020
USA,0,1/12/2020
USA,0,1/13/2020
USA,0,1/14/2020
USA,0,1/15/2020
USA,0,1/16/2020
USA,0,1/17/2020
USA,0,1/18/2020
USA,0,1/19/2020
USA,0,1/20/2020
USA,0,1/21/2020
USA,0,1/22/2020
USA,0,1/23/2020
USA,1,1/24/2020
USA,0,1/25/2020
USA,3,1/26/2020
USA,0,1/27/2020
USA,0,1/28/2020
USA,1,1/29/2020
USA,0,1/30/2020
USA,2,1/31/2020
USA,0,2/1/2020
USA,0,2/2/2020
USA,3,2/3/2020
USA,0,2/4/2020
USA,0,2/5/2020
USA,1,2/6/2020
USA,0,2/7/2020
USA,0,2/8/2020
USA,0,2/9/2020
USA,0,2/10/2020
USA,1,2/11/2020
USA,0,2/12/2020
USA,1,2/13/2020
USA,0,2/14/2020
USA,0,2/15/2020
USA,0,2/16/2020
USA,0,2/17/2020
USA,0,2/18/2020
USA,0,2/19/2020
USA,0,2/20/2020
USA,2,2/21/2020
USA,0,2/22/2020
USA,0,2/23/2020
USA,0,2/24/2020
USA,0,2/25/2020
USA,0,2/26/2020
USA,1,2/27/2020
USA,0,2/28/2020
USA,8,2/29/2020
USA,7,3/1/2020
USA,23,3/2/2020
USA,19,3/3/2020
USA,33,3/4/2020
USA,77,3/5/2020
USA,53,3/6/2020
USA,166,3/7/2020
USA,116,3/8/2020
USA,75,3/9/2020
USA,188,3/10/2020
USA,365,3/11/2020
USA,439,3/12/2020
USA,633,3/13/2020
USA,759,3/14/2020
USA,234,3/15/2020
USA,1467,3/16/2020
USA,1833,3/17/2020
USA,2657,3/18/2020
USA,4494,3/19/2020
USA,6367,3/20/2020
USA,5995,3/21/2020
USA,8919,3/22/2020
USA,11152,3/23/2020
USA,10618,3/24/2020
USA,12127,3/25/2020
USA,17821,3/26/2020
USA,18591,3/27/2020
USA,22164,3/28/2020
USA,16127,3/29/2020
USA,22154,3/30/2020
USA,26381,3/31/2020
USA,32232,4/1/2020
USA,32230,4/2/2020
USA,32482,4/3/2020
USA,32176,4/4/2020
USA,29604,4/5/2020
USA,31858,4/6/2020
USA,30343,4/7/2020
USA,31149,4/8/2020
USA,36443,4/9/2020
USA,34347,4/10/2020
USA,29278,4/11/2020
USA,26872,4/12/2020
USA,26924,4/13/2020
USA,28395,4/14/2020
USA,25900,4/15/2020
USA,29956,4/16/2020
USA,33157,4/17/2020
USA,27994,4/18/2020
USA,25923,4/19/2020
USA,29680,4/20/2020
USA,26170,4/21/2020
USA,29419,4/22/2020
USA,32768,4/23/2020
USA,32152,4/24/2020
USA,30994,4/25/2020
USA,26547,4/26/2020
USA,23750,4/27/2020
USA,24690,4/28/2020
USA,26220,4/29/2020
USA,29241,4/30/2020
USA,35021,5/1/2020
USA,27824,5/2/2020
USA,24492,5/3/2020
USA,23713,5/4/2020
USA,24329,5/5/2020
USA,24263,5/6/2020
USA,27657,5/7/2020
USA,27272,5/8/2020
USA,24446,5/9/2020
USA,19148,5/10/2020
USA,19034,5/11/2020
USA,22843,5/12/2020
USA,20576,5/13/2020
USA,26532,5/14/2020
USA,24821,5/15/2020
USA,24233,5/16/2020
USA,18798,5/17/2020
USA,22134,5/18/2020
USA,20761,5/19/2020
USA,22722,5/20/2020
USA,25806,5/21/2020
USA,23619,5/22/2020
USA,20979,5/23/2020
USA,20591,5/24/2020
USA,18653,5/25/2020
USA,18576,5/26/2020
USA,19407,5/27/2020
USA,21646,5/28/2020
USA,24735,5/29/2020
USA,24084,5/30/2020
USA,19454,5/31/2020
USA,16965,6/1/2020
USA,21283,6/2/2020
USA,19771,6/3/2020
USA,21723,6/4/2020
USA,25001,6/5/2020
USA,21298,6/6/2020
USA,18413,6/7/2020
USA,16504,6/8/2020
USA,18092,6/9/2020
USA,21068,6/10/2020
USA,22382,6/11/2020
USA,25325,6/12/2020
USA,24972,6/13/2020
USA,19420,6/14/2020
USA,18522,6/15/2020
USA,23839,6/16/2020
USA,27389,6/17/2020
USA,28315,6/18/2020
USA,31697,6/19/2020
USA,32613,6/20/2020
USA,26189,6/21/2020
USA,30973,6/22/2020
USA,37222,6/23/2020
USA,36232,6/24/2020
USA,40369,6/25/2020
USA,46210,6/26/2020
USA,41737,6/27/2020
USA,41862,6/28/2020
USA,39642,6/29/2020
USA,48312,6/30/2020
USA,51566,7/1/2020
USA,56348,7/2/2020
USA,52620,7/3/2020
USA,48946,7/4/2020
USA,50438,7/5/2020
USA,42801,7/6/2020
USA,58859,7/7/2020
USA,59723,7/8/2020
USA,60875,7/9/2020
USA,67778,7/10/2020
USA,61371,7/11/2020
USA,60684,7/12/2020
USA,57559,7/13/2020
USA,66438,7/14/2020
USA,67966,7/15/2020
USA,76039,7/16/2020
USA,72251,7/17/2020
USA,63797,7/18/2020
USA,61449,7/19/2020
USA,60212,7/20/2020
USA,65582,7/21/2020
USA,70384,7/22/2020
USA,68257,7/23/2020
USA,74149,7/24/2020
USA,66999,7/25/2020
USA,56156,7/26/2020
USA,56170,7/27/2020
USA,63694,7/28/2020
USA,68375,7/29/2020
USA,67966,7/30/2020
USA,68469,7/31/2020
USA,59132,8/1/2020
USA,46007,8/2/2020
USA,45284,8/3/2020
USA,54974,8/4/2020
USA,55883,8/5/2020
USA,57230,8/6/2020
USA,61064,8/7/2020
USA,55176,8/8/2020
USA,48137,8/9/2020
USA,45220,8/10/2020
USA,52600,8/11/2020
USA,52802,8/12/2020
USA,51529,8/13/2020
USA,65073,8/14/2020
USA,49656,8/15/2020
USA,40104,8/16/2020
USA,35662,8/17/2020
USA,42905,8/18/2020
USA,44263,8/19/2020
USA,44589,8/20/2020
USA,48789,8/21/2020
USA,44404,8/22/2020
USA,34566,8/23/2020
USA,34881,8/24/2020
USA,40927,8/25/2020
USA,43956,8/26/2020
USA,45988,8/27/2020
USA,46535,8/28/2020
USA,44241,8/29/2020
USA,34928,8/30/2020
USA,32614,8/31/2020
USA,42943,9/1/2020
USA,40642,9/2/2020
USA,44353,9/3/2020
USA,50689,9/4/2020
USA,43509,9/5/2020
USA,31050,9/6/2020
USA,23898,9/7/2020
USA,25690,9/8/2020
USA,34536,9/9/2020
USA,35898,9/10/2020
USA,48020,9/11/2020
USA,41688,9/12/2020
USA,34534,9/13/2020
USA,33167,9/14/2020
USA,39543,9/15/2020
USA,38874,9/16/2020
