country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
ABW,Aruba,0.0,0.0,17.64,70.52,64.3,49.08,44.39,56.59,57.79,51.49,42.34,39.89,38.73,41.7,48.06,58.55,55.06,40.52,34.14,32.44,31.0,37.51,42.71,42.71
AFG,Afghanistan,0.0,2.28,30.97,56.04,62.5,60.35,60.42,50.61,30.62,22.35,19.11,20.83,20.23,18.25,25.48,26.98,34.78,34.9,40.79,26.82,20.45,25.29,21.56,21.56
AGO,Angola,0.0,2.87,15.81,62.16,62.4,55.77,56.14,57.52,56.54,51.46,46.54,45.66,44.52,42.65,46.49,50.8,38.21,40.92,45.68,49.22,54.69,53.85,52.56,53.39
ALB,Albania,0.0,2.26,44.84,68.82,72.6,65.15,63.15,58.82,57.91,59.19,63.09,64.3,64.51,67.4,67.1,63.54,59.05,48.75,47.0,44.8,47.55,50.0,50.38,50.52
AND,Andorra,0.0,0.0,24.26,50.95,54.91,51.18,50.47,55.21,56.77,61.98,65.73,63.94,64.11,65.58,68.25,66.34,62.12,54.29,58.35,62.82,63.02,57.21,63.99,66.67
ARE,United Arab Emirates,0.45,8.46,33.94,76.14,69.24,65.73,56.05,55.18,54.17,53.97,52.07,52.29,59.31,58.59,60.31,61.41,63.18,63.02,67.67,65.03,54.17,45.64,51.59,53.12
ARG,Argentina,1.81,6.25,44.98,82.0,79.42,77.95,78.24,76.21,76.04,75.87,73.44,71.68,72.34,69.12,66.83,69.95,73.7,71.29,69.38,70.81,71.15,49.82,48.27,47.4
AUS,Australia,2.59,19.05,34.88,61.43,61.98,52.82,65.59,72.72,72.5,68.01,62.63,62.08,57.97,61.58,55.17,51.62,48.8,59.13,62.81,64.16,65.65,64.79,61.16,65.1
AUT,Austria,0.0,3.91,43.13,72.62,62.84,56.91,50.6,50.0,50.4,60.41,79.84,78.86,84.39,82.89,81.54,83.44,79.78,75.1,68.07,71.23,72.24,71.91,74.46,81.77
AZE,Azerbaijan,0.1,2.96,41.9,71.96,66.97,71.53,78.45,71.94,65.82,61.0,61.2,66.1,70.81,66.38,66.73,65.21,67.46,62.29,56.25,56.05,54.48,48.74,46.87,46.87
BDI,Burundi,0.0,3.12,6.42,16.15,13.73,13.02,14.33,13.02,14.68,16.11,16.67,19.69,16.81,20.38,16.87,17.05,17.19,17.19,17.19,17.19,17.61,17.34,15.23,17.19
BEL,Belgium,0.5,7.11,42.98,66.06,69.64,60.74,56.27,59.92,56.61,55.19,68.06,65.78,65.64,66.56,66.96,71.43,63.92,64.92,65.49,63.54,61.2,59.16,63.04,67.19
BEN,Benin,0.0,2.42,20.16,52.53,49.94,45.14,46.35,46.35,48.02,48.88,46.01,44.0,39.15,38.91,36.22,49.17,39.52,40.48,46.1,46.55,54.37,57.29,58.65,60.42
BFA,Burkina Faso,0.0,1.79,26.96,56.36,49.93,38.54,38.74,41.31,38.28,32.95,28.12,25.0,26.01,24.22,36.24,39.95,27.37,37.73,35.42,32.15,27.6,27.15,25.62,25.62
BGD,Bangladesh,2.82,10.94,33.11,66.56,66.23,58.46,63.33,64.84,64.84,64.84,64.84,65.57,67.24,74.13,76.61,76.79,68.15,59.87,59.49,70.59,66.43,61.72,56.52,58.33
BGR,Bulgaria,0.0,4.15,31.75,58.02,55.28,41.3,40.44,41.3,40.04,40.67,48.54,51.66,53.69,56.02,59.27,56.77,55.78,55.45,48.96,39.28,50.98,61.47,60.99,59.38
BHR,Bahrain,1.76,16.29,43.53,71.7,72.4,74.34,71.96,69.84,66.77,65.95,59.27,63.22,66.62,70.63,68.81,68.34,67.65,72.71,66.58,59.64,52.92,53.7,52.34,53.65
BHS,Bahamas,1.01,3.44,35.5,83.29,84.11,75.55,62.04,67.58,65.36,62.89,61.2,58.98,58.33,58.7,60.91,65.64,68.48,68.09,64.76,65.8,58.14,51.27,47.14,47.14
BIH,Bosnia and Herzegovina,0.0,0.36,35.7,69.08,61.74,45.66,45.16,46.15,37.6,37.28,40.8,39.97,43.06,45.3,44.31,47.16,48.17,44.29,40.26,36.75,42.5,42.5,43.54,45.62
BLR,Belarus,0.0,0.0,4.28,26.6,33.85,33.85,33.85,33.85,33.85,34.15,39.01,40.25,42.35,41.61,41.61,41.61,42.47,45.42,38.22,39.24,35.73,31.21,23.91,23.75
BLZ,Belize,0.0,3.02,23.13,55.87,64.03,59.89,60.92,65.01,65.61,63.41,62.81,65.62,65.72,66.15,63.17,58.04,63.09,70.02,70.72,71.88,68.58,61.17,63.44,65.1
BMU,Bermuda,2.82,18.3,27.59,68.17,64.51,63.02,53.08,51.43,49.76,40.54,41.04,52.18,53.16,50.46,55.89,67.99,61.55,55.64,50.0,54.87,56.11,57.43,59.51,58.85
BOL,Bolivia,4.17,4.17,32.41,66.25,67.88,70.43,67.71,67.71,63.02,63.02,62.97,43.58,38.6,32.97,35.28,38.75,38.96,42.15,55.83,62.17,53.96,45.07,44.07,47.14
BRA,Brazil,0.91,5.21,30.34,63.18,67.91,67.71,69.2,65.04,63.9,60.24,56.56,59.47,56.75,54.47,53.64,53.33,49.86,51.72,49.21,45.04,48.75,46.4,41.58,41.46
BRB,Barbados,3.02,11.46,26.23,68.37,68.63,62.57,52.37,48.64,46.7,43.6,48.44,47.46,57.46,66.87,67.51,71.32,72.02,66.11,54.09,57.64,69.27,60.11,61.46,61.46
BRN,Brunei,8.67,15.08,30.59,50.52,49.85,47.57,47.08,43.97,42.81,41.93,43.75,43.75,43.75,43.75,46.87,41.87,45.14,44.79,46.71,66.13,71.88,71.88,71.88,71.88
BTN,Bhutan,3.48,9.25,29.97,64.31,68.97,70.31,63.95,76.85,78.18,68.75,64.86,68.31,71.38,53.9,60.16,74.52,74.35,71.18,69.0,73.31,70.21,67.76,63.35,66.41
BWA,Botswana,4.13,7.81,20.88,60.99,59.39,51.22,49.83,47.67,49.48,52.96,46.42,45.31,47.03,49.81,53.71,55.16,54.14,59.63,57.17,61.89,53.23,46.06,31.3,31.25
CAF,Central African Republic,0.0,0.0,11.7,44.2,50.1,48.17,41.71,40.66,49.58,42.49,31.59,24.28,18.67,19.27,14.11,15.81,14.19,10.83,10.83,24.64,25.68,28.44,28.44,28.44
CAN,Canada,4.1,6.77,35.78,61.59,61.58,61.54,60.79,64.95,63.51,60.1,62.74,65.43,69.13,70.42,69.14,70.42,70.92,70.64,66.94,60.25,64.75,65.12,66.67,66.67
CHE,Switzerland,0.0,3.97,41.28,60.16,57.81,47.26,46.27,48.7,45.66,42.17,56.61,58.09,60.19,60.31,61.19,60.98,56.25,53.38,52.1,51.56,54.69,56.77,56.77,56.77
CHL,Chile,0.0,0.0,23.54,65.05,67.55,70.84,77.23,78.39,78.39,78.39,78.53,78.17,80.16,81.19,82.98,85.61,84.38,87.55,79.08,64.89,61.51,43.35,42.24,46.93
CHN,China,22.51,60.72,63.09,54.71,64.48,68.63,68.49,68.49,58.28,60.76,69.02,75.12,75.21,73.06,63.68,74.91,71.05,71.55,74.32,77.86,77.86,77.86,76.61,70.92
CIV,Cote d'Ivoire,0.0,0.0,23.91,58.6,53.52,52.54,53.88,43.8,44.96,42.82,36.2,32.77,31.35,35.32,39.64,43.54,43.58,40.54,40.62,40.27,39.86,39.9,39.9,39.9
CMR,Cameroon,0.0,0.65,17.96,48.0,47.92,50.52,50.52,49.3,48.32,42.47,39.43,23.61,26.16,25.52,26.63,27.55,23.89,23.44,23.44,31.4,30.68,38.83,30.99,29.69
