country_name,country_code,2020-12_gov,2020-12_cases,Cluster
Aruba,ABW,39.89,6.4692503167957724,1
Afghanistan,AFG,20.83,8.718663567048953,1
Angola,AGO,45.66,7.789454566086673,1
Albania,ALB,64.3,9.910214873285554,2
Andorra,AND,63.94,7.173958319756794,0
United Arab Emirates,ARE,52.29,10.570367756845354,2
Argentina,ARG,71.68,12.210970630792366,2
Australia,AUS,62.08,6.2422232654551655,0
Austria,AUT,78.86,11.269068872058478,2
Azerbaijan,AZE,66.1,11.487864034374857,2
Burundi,BDI,19.69,4.875197323201151,3
Belgium,BEL,65.78,11.144062259306612,2
Benin,BEN,44.0,5.4680601411351315,1
Burkina Faso,BFA,25.0,8.248529124800218,1
Bangladesh,BGD,65.57,10.79094661774158,2
Bulgaria,BGR,51.66,10.950227431793527,2
Bahrain,BHR,63.22,8.651724084373843,0
Bahamas,BHS,58.98,5.802118375377063,0
Bosnia and Herzegovina,BIH,39.97,10.046938334941089,1
Belarus,BLR,40.25,10.961937351385163,1
Belize,BLZ,65.62,8.5016733797582,0
Bermuda,BMU,52.18,5.84354441703136,0
Bolivia,BOL,43.58,9.643226075660339,1
Brazil,BRA,59.47,14.108251811151987,2
Barbados,BRB,47.46,4.68213122712422,3
Brunei,BRN,43.75,2.0794415416798357,3
Bhutan,BTN,68.31,5.564520407322694,0
Botswana,BWA,45.31,8.309922989258318,1
Central African Republic,CAF,24.28,3.9318256327243257,3
Canada,CAN,65.43,12.229408240227137,2
Switzerland,CHE,58.09,11.737867398225818,2
Chile,CHL,78.17,10.954850988603628,2
China,CHN,75.12,6.272877006546167,0
Cote d'Ivoire,CIV,32.77,7.05617528410041,1
Cameroon,CMR,23.61,7.513709247839705,1
Democratic Republic of Congo,COD,22.59,8.494333897270154,1
Congo,COG,31.85,7.195937226475569,1
Colombia,COL,57.29,12.694560631574449,2
Cape Verde,CPV,67.28,6.984716320118266,0
Costa Rica,CRI,52.07,10.298363459090025,2
Cuba,CUB,51.04,8.183118079394745,1
Cyprus,CYP,77.69,9.389657419749838,2
Czech Republic,CZE,69.66,12.182619764155396,2
Germany,DEU,62.72,13.4254531394287,2
Djibouti,DJI,39.58,5.030437921392435,3
Dominica,DMA,43.48,1.3862943611198906,3
Denmark,DNK,57.79,11.326583838513384,2
Dominican Republic,DOM,58.28,10.196082536848554,2
Algeria,DZA,63.02,9.705768053562077,2
Ecuador,ECU,60.11,9.894850359140465,2
Egypt,EGY,59.34,10.005683064850798,2
Eritrea,ERI,66.22,6.612041034833092,0
Spain,ESP,68.28,12.542826985213718,2
Estonia,EST,46.32,9.660332602134424,1
Ethiopia,ETH,48.44,9.560363239834537,1
Finland,FIN,51.55,9.323311850635344,1
Fiji,FJI,56.77,2.0794415416798357,0
France,FRA,64.02,12.8828617594773,2
Faeroe Islands,FRO,52.03,4.68213122712422,0
Gabon,GAB,68.67,5.8805329864007,0
United Kingdom,GBR,73.49,13.663668544448255,2
Georgia,GEO,68.82,11.427770545514637,2
Ghana,GHA,40.62,8.040768994367578,1
Guinea,GIN,40.14,6.403574197934815,1
Gambia,GMB,40.39,4.02535169073515,3
Greece,GRC,81.73,10.421685930631531,2
Greenland,GRL,36.39,2.302585092994046,3
Guatemala,GTM,48.11,9.677276802172448,1
Guam,GUM,59.37,6.124683390894205,0
Guyana,GUY,59.22,6.831953565565855,0
Hong Kong,HKG,71.2,7.837159650001675,0
Honduras,HND,69.72,9.515985144802135,2
Croatia,HRV,61.24,11.319292171029959,2
Haiti,HTI,36.73,6.590301048196686,1
Hungary,HUN,62.22,11.565451499221675,2
Indonesia,IDN,53.65,12.227423093940825,2
India,IND,64.06,13.621805656042476,2
Ireland,IRL,71.19,9.864538802397552,2
Iran,IRN,55.03,12.480186839185361,2
Iraq,IRQ,47.89,10.66296071826755,1
Iceland,ISL,60.66,5.8944028342648505,0
Israel,ISR,75.04,11.362939434273745,2
Italy,ITA,75.31,13.133526833509553,2
Jamaica,JAM,67.71,7.632885505395133,0
Jordan,JOR,66.67,11.226109683846405,2
Japan,JPN,50.86,11.372812460980152,2
Kazakhstan,KAZ,56.07,10.18994387406209,2
Kenya,KEN,54.22,9.460398455831275,2
Kyrgyz Republic,KGZ,49.13,8.969160133175821,1
Cambodia,KHM,48.62,3.970291913552122,3
Kiribati,KIR,14.58,0.0,3
South Korea,KOR,58.19,10.207952993022255,2
Kuwait,KWT,61.67,8.980927207648378,0
Laos,LAO,44.27,1.0986122886681098,3
Lebanon,LBN,71.35,10.888557799805108,2
Liberia,LBR,36.81,5.313205979041787,3
Libya,LBY,56.02,9.76818316050523,2
Liechtenstein,LIE,47.94,6.813444599510896,1
Sri Lanka,LKA,64.96,9.8685337232726,2
Lesotho,LSO,33.85,6.893656354602635,1
Lithuania,LTU,64.29,11.297812085351284,2
Luxembourg,LUX,63.88,9.37058672111828,2
Latvia,LVA,60.58,10.078700570092789,2
Macao,MAC,42.19,0.0,3
Morocco,MAR,58.01,11.324883578241367,2
Monaco,MCO,61.46,5.58724865840025,0
Moldova,MDA,58.33,10.530895491381983,2
Madagascar,MDG,38.54,5.924255797414532,1
Mexico,MEX,62.82,12.652526134315648,2
Mali,MLI,42.67,7.7752758464868625,1
Malta,MLT,60.62,7.973155433444133,0
Myanmar,MMR,72.75,10.431701125903345,2
Mongolia,MNG,72.36,6.040254711277414,0
Mozambique,MOZ,43.38,7.9868449011613825,1
Mauritania,MRT,46.03,8.659386957119413,1
Mauritius,MUS,29.69,3.1780538303479458,3
Malawi,MWI,45.31,6.320768294250582,1
Malaysia,MYS,71.98,10.764561513772353,2
Namibia,NAM,36.41,9.165552189186048,1
Niger,NER,25.98,7.4821189235521155,1
Nigeria,NGA,49.26,9.906034306802704,1
