country_code,country_name,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
ABW,Aruba,0.0,0.0,55.0,45.0,1.0,2.0,18.0,1885.0,1957.0,550.0,332.0,644.0,1477.0,925.0,1552.0,1195.0,347.0,153.0,592.0,2846.0,924.0,425.0,429.0
AFG,Afghanistan,0.0,5.0,161.0,1661.0,13353.0,16265.0,5183.0,1620.0,1106.0,1980.0,4881.0,6115.0,2693.0,691.0,740.0,3291.0,12093.0,46821.0,28495.0,6066.0,1954.0,1076.0,1039.0
AGO,Angola,0.0,0.0,7.0,20.0,59.0,198.0,864.0,1506.0,2318.0,5833.0,4334.0,2414.0,2243.0,1011.0,1504.0,4341.0,7899.0,4298.0,3928.0,4767.0,9039.0,7850.0,735.0
ALB,Albania,0.0,0.0,243.0,530.0,364.0,1398.0,2741.0,4237.0,4136.0,7226.0,17307.0,20134.0,19811.0,29040.0,17990.0,5928.0,1230.0,206.0,560.0,13306.0,23744.0,15169.0,14645.0
AND,Andorra,0.0,0.0,376.0,369.0,19.0,91.0,70.0,251.0,874.0,2706.0,1989.0,1304.0,1888.0,929.0,1144.0,1222.0,495.0,184.0,767.0,355.0,189.0,294.0,1599.0
ARE,United Arab Emirates,4.0,17.0,643.0,11817.0,22076.0,14110.0,11839.0,9725.0,23959.0,38439.0,36231.0,38962.0,95787.0,87915.0,69920.0,58792.0,50600.0,62071.0,47951.0,37512.0,17622.0,3913.0,2136.0
ARG,Argentina,0.0,0.0,1054.0,3374.0,12423.0,47679.0,126772.0,226433.0,333266.0,415923.0,257609.0,200981.0,301725.0,180126.0,241456.0,628542.0,804421.0,688590.0,459390.0,255856.0,71282.0,31905.0,41941.0
AUS,Australia,9.0,16.0,4534.0,2207.0,436.0,718.0,9360.0,8539.0,1277.0,499.0,317.0,513.0,393.0,160.0,344.0,489.0,307.0,525.0,3740.0,20710.0,52088.0,64849.0,39625.0
AUT,Austria,0.0,9.0,10171.0,5272.0,1279.0,1035.0,3364.0,6308.0,17375.0,60112.0,177531.0,78359.0,53583.0,45042.0,86789.0,72641.0,25945.0,5597.0,8644.0,29249.0,54790.0,87886.0,329014.0
AZE,Azerbaijan,0.0,0.0,298.0,1506.0,3690.0,12030.0,14354.0,4557.0,3794.0,15040.0,65907.0,97524.0,11519.0,4318.0,27176.0,57396.0,14847.0,2091.0,7802.0,81042.0,59011.0,47468.0,56948.0
BDI,Burundi,0.0,0.0,2.0,9.0,52.0,107.0,217.0,58.0,63.0,77.0,103.0,130.0,814.0,577.0,601.0,1185.0,795.0,662.0,1628.0,4914.0,5734.0,2311.0,376.0
BEL,Belgium,0.0,1.0,12774.0,35744.0,9862.0,3046.0,7324.0,16485.0,33216.0,310777.0,148116.0,69151.0,63657.0,61358.0,110942.0,107776.0,71772.0,23130.0,39584.0,59949.0,60290.0,115696.0,405385.0
BEN,Benin,0.0,0.0,9.0,55.0,168.0,967.0,606.0,340.0,212.0,286.0,372.0,236.0,642.0,1541.0,1666.0,721.0,237.0,141.0,195.0,4972.0,10524.0,859.0,101.0
BFA,Burkina Faso,0.0,0.0,261.0,384.0,202.0,115.0,144.0,262.0,688.0,444.0,386.0,3821.0,3975.0,1300.0,735.0,593.0,124.0,45.0,94.0,204.0,466.0,550.0,1207.0
BGD,Bangladesh,0.0,0.0,51.0,7616.0,39486.0,98330.0,92178.0,75335.0,50483.0,44205.0,57248.0,48578.0,21629.0,11077.0,65079.0,147837.0,41408.0,112718.0,336226.0,251134.0,55293.0,13628.0,6745.0
BGR,Bulgaria,0.0,0.0,399.0,1107.0,1007.0,2476.0,6701.0,4576.0,4567.0,32011.0,92456.0,56966.0,16482.0,28290.0,95595.0,61747.0,14197.0,3252.0,3225.0,30688.0,46420.0,100330.0,92565.0
BHR,Bahrain,0.0,41.0,526.0,2473.0,8358.0,15360.0,14224.0,10990.0,18892.0,10781.0,5311.0,5719.0,10382.0,19337.0,22051.0,32489.0,63597.0,25296.0,3359.0,3354.0,2517.0,1772.0,861.0
BHS,Bahamas,0.0,0.0,14.0,67.0,21.0,2.0,470.0,1643.0,1906.0,2591.0,827.0,330.0,303.0,345.0,600.0,1334.0,1343.0,790.0,2254.0,3299.0,2845.0,1367.0,440.0
BIH,Bosnia and Herzegovina,0.0,0.0,420.0,1337.0,753.0,1943.0,7423.0,8088.0,7505.0,22621.0,37811.0,23084.0,10512.0,9482.0,38647.0,28835.0,5551.0,1010.0,633.0,8198.0,20922.0,17983.0,22307.0
